objectName,English,French
mbx_FrmEditFileData_WarningLatLongMustBeNumbers,This needs to have numbers only. Will default to zero.,N'utiliser que des chiffres. 0 par défaut
mbx_FrmEditFileData_InfoDataUpdated,Data Updated.,Données mises à jour
mbx_FrmEditFileData_ErrorInvalidSender,This will be a bug.  Please file an issue on github and that the 'sender' was: ,C'est un bug. Merci de saisir une issue sur Github sous l'expéditeur:
mbx_FrmEditFileData_ErrorAPIError,"The app encountered errors communicating with the API. If you got an Unauthorised error, pls set your username as password in the settings.","L'application a rencontré des erreurs de communication avec l'API.Si l'erreur concerne un probléme d'autorisation, merci de rentrer vos login/password dans l'API."
mbx_FrmEditFileData_WarningFileDisappeared,Your files seem to have disappeared.,Vos fichiers semblent avoir disparu.
mbx_FrmMainApp_ErrorCantCreateSQLiteDB,Can't create SQLite database (Please file an issue on github): ,Ne peut créer la base SQLite (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorCantWriteSQLiteDB,Created but can't write SQLite database (Please file an issue on github): ,Créé mais ne peut écrire dans la base SQLite (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorCantLoadSQLiteDB,Loading data from SQL Failed (Please file an issue on github): ,Erreur de chargement de la base SQLite (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorCantReadDefaultSQLiteDB,Failed to read default values from SQL (Please file an issue on github): ,Erreur de lecture des valeurs par défaut de la base SQLite (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorCantLoadWebView2,Error loading webview2 - Have you installed it?: ,Erreur de chargement dewebview2 - l'avez-vous installée ?
mbx_FrmMainApp_ErrorInitializeComponent,Error in FrmMainApp.InitializeComponent (Please file an issue on github): ,Erreur dans FrmMainApp.InitializeComponent  (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorInitializeWebViewEnsureCoreWebView2Async,Error in FrmMainApp.InitialiseWebView (await wbv_MapArea.EnsureCoreWebView2Async(c2wv)) (Please file an issue on github): ,Erreur dans FrmMainApp.InitialiseWebView (await wbv_MapArea.EnsureCoreWebView2Async(c2wv))  (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorInitializeWebViewIsWebMessageEnabled,Error in FrmMainApp.InitialiseWebView (IsWebMessageEnabled) (Please file an issue on github): ,Erreur dans FrmMainApp.InitialiseWebView (IsWebMessageEnabled)  (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorInitializeWebViewReadHTMLFile,Error in FrmMainApp.InitialiseWebView (reading HTMLCode file) (Please file an issue on github): ,Erreur dans FrmMainApp.InitialiseWebView (reading HTMLCode file)  (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorInitializeWebViewParseCoordsFromHTMLFile,Error in FrmMainApp.InitialiseWebView (parsing coordinates from HTMLCode file) (Please file an issue on github): ,Erreur dans FrmMainApp.InitialiseWebView (parsing coordinates from HTMLCode file)  (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorInitializeWebViewReplaceStringInHTMLFile,Error in FrmMainApp.InitialiseWebView (replacing constants in HTMLCode file) (Please file an issue on github): ,Erreur dans FrmMainApp.InitialiseWebView (replacing constants in HTMLCode file)  (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorInitializeWebViewNavigateToStringInHTMLFile,Error in FrmMainApp.InitialiseWebView (NavigateToString in HTMLCode file) (Please file an issue on github): ,Erreur dans FrmMainApp.InitialiseWebView (NavigateToString in HTMLCode file)  (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorNavigateMapGoHTMLCode,Error in FrmMainApp.NavigateMapGo (string HTMLCode) (Please file an issue on github): ,Erreur dans FrmMainApp.NavigateMapGo (string HTMLCode)  (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorInitializeWebViewWebMessageReceived,Error while performing  wbv_MapArea_WebMessageReceived (Please file an issue on github): ,Erreur dans l'exécution de  wbv_MapArea_WebMessageReceived  (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorDoubleBuffer,DoubleBuffer Error (Please file an issue on github): ,Erreur de DoubleBuffer (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorLanguageFileColumnHeaders,There was an error reading the language file and assigning columnheaders (Please file an issue on github): ,Erreur de lecture du fichier de langue et d'assignation de colonne (merci de générer une issue dans Github):
mbx_FrmMainApp_ErrorClearingFileDataQTables,Error clearing the filedata-Q tables (Please file an issue on github): ,Erreur d'effacement des tables filedata-Q  (merci de générer une issue dans Github):
