objectName,English,French
btn_Cancel,Cancel,Annuler
btn_OK,Ok,OK
btn_RemoveGeoData,Remove GPS and Location data,Supprimer toutes les données de localisation
btn_getFromWeb_Altitude,For This Image,Pour cette image
btn_getFromWeb_Toponomy,For This Image,Pour cette image
btn_getAllFromWeb_Altitude,For All Images,Pour toutes les images
btn_getAllFromWeb_Toponomy,For All Images,Pour toutes les images
btn_Yes,Yes,Oui
btn_No,No,Non
btn_OK_Working,Pls wait,"Svp, attendez…"
btn_SetCurrentValues,Set current values for all images selected for editing…,Définir les valeurs actuelles pour toutes les images sélectionnées...
btn_GPSData_All,All,Tout
btn_GPSData_None,None,Aucun
btn_LocationData_All,All,Tout
btn_LocationData_None,None,Aucun
btn_AllData_All,All,Tout
btn_AllData_None,None,Aucun
btn_Dates_All,All,Tout
btn_Dates_None,None,Aucun
btn_InsertTakenDate,Insert,Insérer
btn_InsertCreateDate,Insert,Insérer
btn_InsertFromTakenDate,Use TakenDate,Utiliser la Date de prise de vue
btn_Save,Save the Current Changes,
btn_Close,Close,
btn_Delete,Delete,
btn_Rename,Rename,
btn_PullMostRecentTrackSyncShift,"Get the ""latest"" Shift Settings",
btn_PullMostRecentPasteSettings,"Get the ""latest"" Paste Settings",
btn_ResetToDefaults,Reset to Defaults,
btn_ImportSettings,Import,
btn_ExportSettings,Export, 
btn_RestartNow,Restart Now,
btn_RestartLater,Restart Later,
btn_ApplyAndNext,Apply && Move to Next,
